"idx","wojewodztwo"
"741","świętokrzyskie"
"742","lubuskie"
"743","lubuskie"
"744","lubuskie"
"745","lubuskie"
"746","lubuskie"
"747","lubelskie"
"748","lubelskie"
"749","lubelskie"
"750","lubelskie"
"751","lubelskie"
"752","kujawsko-pomorskie"
"753","kujawsko-pomorskie"
"754","kujawsko-pomorskie"
"755","kujawsko-pomorskie"
"756","kujawsko-pomorskie"
"757","lubuskie"
"758","lubuskie"
"759","lubuskie"
"760","lubuskie"
"761","lubuskie"
"762","lubuskie"
"763","lubuskie"
"764","lubelskie"
"765","lubelskie"
"766","lubelskie"
"767","kujawsko-pomorskie"
"768","kujawsko-pomorskie"
"769","kujawsko-pomorskie"
"770","lubuskie"
"771","lubuskie"
"772","lubuskie"
"773","lubuskie"
"774","lubuskie"
"775","lubuskie"
"776","lubuskie"
"777","lubuskie"
"778","lubuskie"
"779","lubuskie"
"780","lubuskie"
"781","lubelskie"
"782","lubelskie"
"783","lubelskie"
"784","lubelskie"
"785","dolnośląskie"
"786","dolnośląskie"
"787","dolnośląskie"
"788","lubuskie"
"789","lubuskie"
"790","lubuskie"
"791","lubuskie"
"792","lubuskie"
"793","lubuskie"
"794","lubuskie"
"795","lubelskie"
"796","lubelskie"
"797","dolnośląskie"
"798","dolnośląskie"
"799","dolnośląskie"
"800","lubuskie"
"801","lubuskie"
"802","lubuskie"
"803","lubuskie"
"804","lubuskie"
"805","lubuskie"
"806","lubuskie"
"807","lubuskie"
"808","lubuskie"
"809","lubuskie"
"810","lubuskie"
"811","lubuskie"
"812","lubuskie"
"813","dolnośląskie"
"814","dolnośląskie"
"815","dolnośląskie"
"816","lubuskie"
"817","lubuskie"
"818","lubuskie"
"819","lubuskie"
"820","lubuskie"
"821","lubuskie"
"822","lubuskie"
"823","lubuskie"
"824","lubuskie"
"825","lubuskie"
"826","dolnośląskie"
"827","dolnośląskie"
"828","podkarpackie"
"829","podkarpackie"
"830","śląskie"
"831","małopolskie"
"832","małopolskie"
"833","małopolskie"
"834","małopolskie"
"835","małopolskie"
"836","świętokrzyskie"
"837","świętokrzyskie"
"838","mazowieckie"
"839","mazowieckie"
"840","mazowieckie"
"841","śląskie"
"842","śląskie"
"843","śląskie"
"844","małopolskie"
"845","małopolskie"
"846","małopolskie"
"847","małopolskie"
"848","świętokrzyskie"
"849","świętokrzyskie"
"850","świętokrzyskie"
"851","mazowieckie"
"852","mazowieckie"
"853","mazowieckie"
"854","mazowieckie"
"855","śląskie"
"856","śląskie"
"857","śląskie"
"858","śląskie"
"859","małopolskie"
"860","małopolskie"
"861","małopolskie"
"862","świętokrzyskie"
"863","świętokrzyskie"
"864","świętokrzyskie"
"865","mazowieckie"
"866","mazowieckie"
"867","mazowieckie"
"868","mazowieckie"
"869","mazowieckie"
"870","opolskie"
"871","śląskie"
"872","śląskie"
"873","śląskie"
"874","małopolskie"
"875","małopolskie"
"876","małopolskie"
"877","małopolskie"
"878","świętokrzyskie"
"879","podkarpackie"
"880","małopolskie"
"881","mazowieckie"
"882","mazowieckie"
"883","mazowieckie"
"884","śląskie"
"885","śląskie"
"886","śląskie"
"887","małopolskie"
"888","małopolskie"
"889","małopolskie"
"890","śląskie"
"891","małopolskie"
"892","mazowieckie"
"893","mazowieckie"
"894","mazowieckie"
"895","mazowieckie"
"896","mazowieckie"
"897","łódzkie"
"898","świętokrzyskie"
"899","świętokrzyskie"
"900","małopolskie"
"901","małopolskie"
"902","małopolskie"
"903","mazowieckie"
"904","mazowieckie"
"905","mazowieckie"
"906","mazowieckie"
"907","małopolskie"
"908","małopolskie"
"909","łódzkie"
"910","łódzkie"
"911","łódzkie"
"912","małopolskie"
"913","małopolskie"
"914","małopolskie"
