"ID" "Osiagniecia.naukowe.i.tworcze" "Potencjal.naukowy" "Materialne.efekty.dzialalnosci.naukowej" "Pozostale.efekty.dzialalnosci.naukowej" "Ocena.ostateczna" "Kategoria" "nazwy"
"Panstwowa Wyzsza Szkola Zawodowa im. Witelona w Legnicy; Wydzial Nauk  Technicznych i Ekonomicznych" 404 6.26 41 0 10.5 -91.36 "C" "Panstwowa Wyzsza Szkola Zawodowa im. Witelona w Legnicy; Wydzial Nauk  Technicznych i Ekonomicznych"
"Wyzsza Szkola Menedzerska w Warszawie; Wydzial Informatyki Stosowanej i  Technik Bezpieczenstwa" 271 3.64 0 0.71 0 -93.1 "C" "Wyzsza Szkola Menedzerska w Warszawie; Wydzial Informatyki Stosowanej i  Technik Bezpieczenstwa"
"Uniwersytet Warszawski; Wydzial Fizyki" 783 111.21 783 21.9 100 79.21 "+A" "Uniwersytet Warszawski; Wydzial Fizyki"
"Uniwersytet Jagiellonski w Krakowie; Wydzial Fizyki. Astronomii i Informatyki  Stosowanej" 59 107.56 726 25.65 100 76.1 "+A" "Uniwersytet Jagiellonski w Krakowie; Wydzial Fizyki. Astronomii i Informatyki  Stosowanej"
"Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial Fizyki i  Informatyki Stosowanej" 568 106.98 313 6.49 100 59.29 "+A" "Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial Fizyki i  Informatyki Stosowanej"
"Uniwersytet Slaski w Katowicach; Wydzial Matematyki. Fizyki i Chemii" 239 95.99 751 5.58 80 50.59 "A" "Uniwersytet Slaski w Katowicach; Wydzial Matematyki. Fizyki i Chemii"
"Uniwersytet Mikolaja Kopernika w Toruniu; Wydzial Fizyki. Astronomii i Informatyki  Stosowanej" 881 93.99 369 18.55 70 48.23 "A" "Uniwersytet Mikolaja Kopernika w Toruniu; Wydzial Fizyki. Astronomii i Informatyki  Stosowanej"
"Politechnika Warszawska; Wydzial Fizyki" 479 96.43 285 7.37 85 46.83 "A" "Politechnika Warszawska; Wydzial Fizyki"
"Politechnika Wroclawska; Wydzial Podstawowych Problemów Techniki" 767 85.89 537 10.7 100 37.55 "A" "Politechnika Wroclawska; Wydzial Podstawowych Problemów Techniki"
"Uniwersytet Zielonogórski; Wydzial Fizyki i Astronomii" 642 100.36 185 2.09 75 32.23 "A" "Uniwersytet Zielonogórski; Wydzial Fizyki i Astronomii"
"Uniwersytet Wroclawski; Wydzial Fizyki i Astronomii" 37 94.28 352 2.06 62.5 27.41 "A" "Uniwersytet Wroclawski; Wydzial Fizyki i Astronomii"
"Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydzial Fizyki" 339 89.27 446 3.86 60 24.77 "A" "Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydzial Fizyki"
"Uniwersytet Lódzki; Wydzial Fizyki i Informatyki Stosowanej" 67 95.99 244 1.7 60 23.43 "A" "Uniwersytet Lódzki; Wydzial Fizyki i Informatyki Stosowanej"
"Uniwersytet w Bialymstoku; Wydzial Fizyki" 466 94.27 99 5.53 50 22.59 "A" "Uniwersytet w Bialymstoku; Wydzial Fizyki"
"Politechnika Slaska; Instytut Fizyki-Centrum Naukowo - Dydaktyczne Politechniki  Slaskiej" 255 82.38 57 4.81 50 -7.37 "B" "Politechnika Slaska; Instytut Fizyki-Centrum Naukowo - Dydaktyczne Politechniki  Slaskiej"
"Uniwersytet Gdanski; Wydzial Matematyki. Fizyki i Informatyki" 575 79.81 331 3.18 50 -7.91 "B" "Uniwersytet Gdanski; Wydzial Matematyki. Fizyki i Informatyki"
"Uniwersytet Warszawski; Srodowiskowe Laboratorium Ciezkich Jonów w UW" 725 71.32 26 6.85 80 -17.94 "B" "Uniwersytet Warszawski; Srodowiskowe Laboratorium Ciezkich Jonów w UW"
"Uniwersytet Marii Curie-Sklodowskiej w Lublinie; Wydzial Matematyki. Fizyki i  Informatyki" 310 70.05 368 2.81 75 -18.6 "B" "Uniwersytet Marii Curie-Sklodowskiej w Lublinie; Wydzial Matematyki. Fizyki i  Informatyki"
"Politechnika Gdanska; Wydzial Fizyki Technicznej i Matematyki Stosowanej" 753 79.64 257 1.04 45 -20.01 "B" "Politechnika Gdanska; Wydzial Fizyki Technicznej i Matematyki Stosowanej"
"Uniwersytet Szczecinski; Wydzial Matematyczno-Fizyczny" 574 69.76 74 3.55 62.5 -31.95 "B" "Uniwersytet Szczecinski; Wydzial Matematyczno-Fizyczny"
"Politechnika Poznanska; Wydzial Fizyki Technicznej" 537 71.17 184 2.35 50 -32.62 "B" "Politechnika Poznanska; Wydzial Fizyki Technicznej"
"Uniwersytet Jana Kochanowskiego w Kielcach; Wydzial MatematycznoPrzyrodniczy" 641 65.87 481 0.25 50 -36.71 "B" "Uniwersytet Jana Kochanowskiego w Kielcach; Wydzial MatematycznoPrzyrodniczy"
"Uniwersytet Kardynala Stefana Wyszynskiego w Warszawie; Wydzial  Matematyczno-Przyrodniczy.Szkola Nauk Scislych" 31 77.98 100 0.16 0 -37.03 "B" "Uniwersytet Kardynala Stefana Wyszynskiego w Warszawie; Wydzial  Matematyczno-Przyrodniczy.Szkola Nauk Scislych"
"Akademia im. Jana Dlugosza w Czestochowie; Wydzial MatematycznoPrzyrodniczy" 449 69.34 172 0.69 62.5 -37.65 "B" "Akademia im. Jana Dlugosza w Czestochowie; Wydzial MatematycznoPrzyrodniczy"
"Uniwersytet Rzeszowski; Wydzial Matematyczno-Przyrodniczy" 237 55.88 209 17.01 40 -39.16 "B" "Uniwersytet Rzeszowski; Wydzial Matematyczno-Przyrodniczy"
