;;;;;;;;prestiz;prestiz;prestiz;prestiz;innowacyjnosc;innowacyjnosc;innowacyjnosc;potencjal naukowy;potencjal naukowy;potencjal naukowy;potencjal naukowy;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie
Miasto;Typ Uczelni;Reszta Nazwy;ranking 2011;ranking 2010;ranking 2009;ranking 2008;suma punktow;preferencje pracodawcow;ocena kadry akademickiej;uznanie miedzynarodowe;wybor olimpijczykow;patenty i inne;srodki z UE;zaplecze innowacyjne;ocena parametryczna;uprawnienia do nawadania stopni naukowych;nasycenie kadry profesorami;akredytacje;rozwoj kadry wlasnej;nadane stopnie naukowe;pozyskiwanie srodkow zewnetrznych na badania;publikacje;cytowania;h-index;udzial uczelni w PR;studia doktoranckie;dostepnosc kadr dla studentow;zbiory elektroniczne;zbiory drukowane;korzystanie z biblioteki;dostepnosc dla studentow zamiejscowych;osiagniecia sportowe;studia w j obcym;studiujacy w j obcym;wymiana studencka wyjazdy;wymiana studencka przyjazdy;wielokulturowosc;nauczyciele z zagranicy;wyklady w j obcych
Warszawa;Szkola;Polsko-Japonska Technik Wyzszych w Warszawie;46;44;49;63;32.23;7.57;1.19;0;0;0;2.59;25.36;100;2.92;66.29;0;45.73;12.91;16.15;64.48;3.47;14.89;1.75;4.86;28.1;3.92;21.57;70.25;0;0;7.69;8.62;12.76;0.6;6.35;42.86;12.99
Lublin;Uniwersytet Przyrodniczy;w Lublinie;47;43;45;35;32.18;0.95;8.9;0;13.9;9.92;24.55;2.17;65.71;19.88;54.14;0;40.48;27.1;6.26;44.39;19.47;31.91;0;8.88;45.88;31.44;11.35;72.1;32.86;56.74;0;0;2.75;1.06;0.39;0;0
Opole;Politechnika;Opolska;48;55;54;55;32.12;6.1;1.36;0;14.35;13.36;27.19;55.07;70;11.7;48.57;0;34.18;24.25;7.46;26.39;11.03;17.02;0;8.4;26.7;11.28;17.24;73.41;25.48;65.7;15.38;1.91;20.52;19.61;3.56;62.04;24.41
Kielce;Politechnika;Swietokrzyska w Kielcach;49;57;51;57;31.57;10.15;1.15;0;3.3;21.46;38.66;49.82;65;12.28;46.77;7.14;47.35;21.3;22.01;38.33;12.23;17.02;0;5.62;22.7;7.76;16.6;71.3;32.81;31.35;0;0;9.04;3.06;0.08;44.12;8.46
Bialystok;Uniwersytet;w Bialymstoku;50;47;47;47;31.49;4.43;2.26;0;0;1.21;51.62;53.26;66;18.71;43.94;14.29;40.52;23.2;7.09;27.35;21.4;29.79;1.75;14.63;28.14;23.55;27.47;81.02;10.08;14.91;0;0;13.39;2.34;29.45;51.57;15.94
Opole;Uniwersytet;Opolski;51;51;46;49;30.13;1.38;4.98;0;0;0;23.86;12.5;80;21.05;54.99;10.71;35.07;29.54;2.91;25.07;17.79;23.4;0;12.81;28.35;17.6;35.18;56.36;24.62;4.77;0;0;14.55;6.75;3.83;28.27;1.97
Lublin;Politechnika;Lubelska;52;45;55;56;30;6.09;2.38;0;4.99;17.81;30.19;56.16;66.67;8.19;34.19;0;31.4;17.24;14.83;38.14;21.42;21.28;7.02;5.81;27.72;11.13;11.53;70.12;27.65;36.49;3.85;3.81;27.03;15.13;0.56;28.5;22.44
Bydgoszcz;Uniwersytet Technologiczny Przyrodniczy;im Sniadeckich w Bydgoszczy;53;56;66;68;29.95;5.12;2.72;0;7.64;23.08;19.92;51.81;74.29;13.45;41.71;10.71;31.73;15.98;10.6;35.73;14.3;21.28;7.02;10.27;40.27;14.42;11.79;57.41;32.36;59.44;0;0;13.43;4.29;0.31;0;7.87
Warszawa;Akademia;Obrony Narodowej w Warszawie;54;62;42;38;29.93;0.83;0.94;0;0;0;0;1.81;50;5.85;42.46;3.57;51.49;100;9.02;0.16;0;0;0;66.6;18.93;2.87;11.05;95.92;15.36;1.95;0;0;5.37;0;0;4.66;5.71
Rzeszow;Uniwersytet;Rzeszowski;55;59;62;54;29.68;2.82;1.75;0;0;0.2;98.7;27.54;51.67;23.39;40.61;10.71;27.4;11.2;13.18;23.6;18.98;29.79;0;12.01;31.03;8.91;26.96;73.13;23.75;61.42;7.69;8.47;20.1;8.43;2;46.15;25.98
