data	objekt	sm	google	sondaz
2015-08-27	korwin	6		0,02
2015-08-28	korwin	5		0,03
2015-08-29	korwin	5		0,03
2015-08-30	korwin	5		0,03
2015-08-31	korwin	4		0,03
2015-09-01	korwin	5		0,03
2015-09-02	korwin	5		0,03
2015-09-03	korwin	5		0,03
2015-09-04	korwin	5		0,03
2015-09-05	korwin	6		0,03
2015-09-06	korwin	6		0,03
2015-09-07	korwin	6		0,04
2015-09-08	korwin	8		0,03
2015-09-09	korwin	16		0,02
2015-09-10	korwin	14		0,03
2015-09-11	korwin	13		0,04
2015-09-12	korwin	12		0,04
2015-09-13	korwin	9		0,04
2015-09-14	korwin	11		0,03
2015-09-15	korwin	12		0,03
2015-09-16	korwin	12		0,03
2015-09-17	korwin	11		0,03
2015-09-18	korwin	10		0,03
2015-09-19	korwin	10		0,03
2015-09-20	korwin	8		0,07
2015-09-21	korwin	9		0,05
2015-09-22	korwin	9		0,04
2015-09-23	korwin	9		0,04
2015-09-24	korwin	10		0,03
2015-09-25	korwin	9		0,03
2015-09-26	korwin	9		0,03
2015-09-27	korwin	9		0,04
2015-09-28	korwin	8		0,04
2015-09-29	korwin	8		0,04
2015-09-30	korwin	8		0,04
2015-10-01	korwin	9		0,04
2015-10-02	korwin	10		0,04
2015-10-03	korwin	11		0,05
2015-10-04	korwin	11		0,05
2015-10-05	korwin	11		0,05
2015-10-06	korwin	13		0,03
2015-10-07	korwin	10		0,03
2015-10-08	korwin	11		0,03
2015-10-09	korwin	11		0,03
2015-10-10	korwin	11		0,03
2015-10-11	korwin	11		0,03
2015-10-12	korwin	10		0,03
2015-10-13	korwin	14		0,03
2015-10-14	korwin	14		0,06
2015-10-15	korwin	15		0,04
2015-10-16	korwin	15		0,04
2015-10-17	korwin	21		0,04
2015-10-18	korwin	21		0,04
2015-10-19	korwin	25		0,04
2015-10-20	korwin	42		0,05
2015-10-21	korwin	49		0,04
2015-10-22	korwin	41		0,05
2015-10-23	korwin	53		0,04
2015-10-24	korwin	46		
2015-10-25	korwin	100		
2015-08-01	kukiz	9		
2015-08-02	kukiz	8		
2015-08-03	kukiz	7		
2015-08-04	kukiz	8		0,07
2015-08-05	kukiz	7		0,07
2015-08-06	kukiz	7		0,07
2015-08-07	kukiz	9		0,07
2015-08-08	kukiz	9		0,06
2015-08-09	kukiz	15		0,06
2015-08-10	kukiz	8		0,06
2015-08-11	kukiz	8		0,08
2015-08-12	kukiz	8		0,11
2015-08-13	kukiz	7		0,08
2015-08-14	kukiz	6		0,06
2015-08-15	kukiz	7		0,06
2015-08-16	kukiz	8		0,06
2015-08-17	kukiz	9		0,06
2015-08-18	kukiz	8		0,05
2015-08-19	kukiz	7		0,05
2015-08-20	kukiz	8		0,05
2015-08-21	kukiz	7		0,06
2015-08-22	kukiz	10		0,07
2015-08-23	kukiz	8		0,08
2015-08-24	kukiz	20		0,09
2015-08-25	kukiz	34		0,07
2015-08-26	kukiz	16		0,06
2015-08-27	kukiz	21		0,04
2015-08-28	kukiz	19		0,07
2015-08-29	kukiz	15		0,07
2015-08-30	kukiz	12		0,07
2015-08-31	kukiz	11		0,07
2015-09-01	kukiz	11		0,07
2015-09-02	kukiz	15		0,06
2015-09-03	kukiz	9		0,06
2015-09-04	kukiz	9		0,06
2015-09-05	kukiz	7		0,06
2015-09-06	kukiz	12		0,06
2015-09-07	kukiz	12		0,06
2015-09-08	kukiz	7		0,07
2015-09-09	kukiz	7		0,07
2015-09-10	kukiz	6		0,08
2015-09-11	kukiz	5		0,09
2015-09-12	kukiz	4		0,08
2015-09-13	kukiz	8		0,08
2015-09-14	kukiz	7		0,07
2015-09-15	kukiz	6		0,07
2015-09-16	kukiz	5		0,06
2015-09-17	kukiz	5		0,05
2015-09-18	kukiz	4		0,05
2015-09-19	kukiz	4		0,04
2015-09-20	kukiz	5		0,05
2015-09-21	kukiz	5		0,1
2015-09-22	kukiz	6		0,05
2015-09-23	kukiz	5		0,07
2015-09-24	kukiz	6		0,06
2015-09-25	kukiz	5		0,06
